episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,188.5560317337513,0.0,0.4000000059604645,0.2666666805744171,0.7,0.1992313712835312
1,1205.7744555473328,0.0,0.11999999731779099,0.05714285746216774,1.0,0.19846569001674652
2,958.6827749311924,0.14523206946283285,0.0,0.10000000149011612,1.0,0.19770294427871704
3,1570.0921866893768,0.15103384559974076,0.0,0.0,1.0,0.19694313406944275
4,1433.6089425086975,0.16081887938082218,0.0,0.0,1.0,0.19618622958660126
5,1339.3770954608917,0.15521342236548663,0.0,0.0,1.0,0.19543223083019257
6,1479.6948387622833,0.16015999395400285,0.0,0.023333333432674408,1.0,0.19468121230602264
7,1102.6878460645676,0.16737167116254567,0.0,0.0,0.9,0.19393308460712433
8,1294.289227962494,0.16066882971674204,0.0,0.0,0.9,0.19318783283233643
9,2001.9324226379395,0.16589975737035276,0.0,0.0,1.0,0.19244544208049774
10,1636.9596865177155,0.18787944301962853,0.0,0.0,1.0,0.19170589745044708
11,1386.4841929674149,0.17454479444772006,0.0,0.0,1.0,0.19096919894218445
12,1434.1023786067963,0.1823511678352952,0.0,0.0,1.0,0.19023533165454865
13,1919.4226224422455,0.18608763683587312,0.0,0.15000000596046448,1.0,0.18950428068637848
14,1669.7619197368622,0.1912306235358119,0.0,0.0,0.9,0.18877603113651276
