episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,859.2679134309292,0.16929329649752212,0.0,0.0,1.0,0.1992313712835312
1,2780.0948506593704,0.5076241951063275,0.0,0.019999999552965164,1.0,0.19846569001674652
2,1993.3730354309082,0.6213279170542956,0.019999999552965164,0.019999999552965164,1.0,0.19770294427871704
3,1862.2316040992737,0.3813120897859335,0.0,0.0,1.0,0.19694313406944275
4,2079.821027994156,0.34469767697155473,0.0,0.0,1.0,0.19618622958660126
5,2390.0724897384644,0.41786608427762983,0.0,0.0,1.0,0.19543223083019257
6,1218.0529127120972,0.33709712207317355,0.0,0.0,1.0,0.19468121230602264
7,2405.664595603943,0.317291474789381,0.0,0.0,0.9,0.19393308460712433
8,2004.9054024219513,0.4413653726875782,0.0,0.0,1.0,0.19318783283233643
9,2030.5487926006317,0.36391093872487545,0.0,0.1599999964237213,0.9,0.19244544208049774
10,3068.782121181488,0.49442496910691264,0.0,0.019999999552965164,1.0,0.19170589745044708
11,1846.4663219451904,0.5567588976025581,0.0,0.0,1.0,0.19096919894218445
12,1609.2252389192581,0.3086148773878813,0.18000000715255737,0.18000000715255737,1.0,0.19023533165454865
13,2412.0580773353577,0.3230628676712513,0.0,0.0,1.0,0.18950428068637848
14,1875.4917695522308,0.3771757706999779,0.0,0.019999999552965164,0.9,0.18877603113651276
15,2187.8989725112915,0.3017760993912816,0.0,0.0,0.9,0.18805056810379028
16,2703.693746328354,0.46732900038361547,0.0,0.0,1.0,0.18732787668704987
17,2212.7775897979736,0.5576282715797425,0.0,0.0,1.0,0.1866079419851303
18,2425.5353441238403,0.45653528586030007,0.0,0.0,1.0,0.18589076399803162
19,2570.69358253479,0.5089013323187828,0.0,0.1599999964237213,1.0,0.1851763129234314
20,1805.0208010673523,0.31541315300597084,0.0,0.0,1.0,0.18446458876132965
21,2508.6223316192627,0.3644939549267292,0.0,0.0,1.0,0.18375557661056519
22,1932.2625651359558,0.396361992508173,0.0,0.0,1.0,0.1830492615699768
23,1639.9599721431732,0.3163279562816024,0.0,0.0,0.9,0.1823459267616272
24,2060.6500647068024,0.2999386151507497,0.0,0.0,1.0,0.1816452592611313
25,1647.056138753891,0.3269682692736387,0.019999999552965164,0.004000000189989805,0.9,0.18094725906848907
26,2394.3671226501465,0.34146513529121875,0.0,0.0,0.9,0.18025191128253937
27,2162.0217452049255,0.43502559274435043,0.0,0.0,0.9,0.17955921590328217
28,1808.6439533233643,0.3791723263263702,0.0,0.0,0.9,0.17886914312839508
