episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,946.3435096144676,0.02344567994845824,0.0,0.0,0.5
1,1609.4135451316833,0.020107670752331615,0.0,0.019999999552965164,1.0
2,2115.00386762619,0.013428508837823755,0.019999999552965164,0.019999999552965164,0.9
3,795.1099771559238,0.009487261314643548,0.0,0.0,0.8
4,1505.4932820796967,0.005649505780311302,0.0,0.0,1.0
5,2062.4868624210358,0.005598727837204933,0.0,0.0,1.0
6,1284.1816399097443,0.0054744420136557895,0.0,0.0,1.0
7,2239.3265194892883,0.0051063067861832675,0.0,0.0,0.9
8,1931.364343881607,0.0076849039224907755,0.0,0.0,1.0
9,1693.6591284275055,0.006898331195116043,0.0,0.14000000059604645,0.8
