episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,790.040064573288,0.0852802394527114,0.0,0.0,0.7,0.1992313712835312
1,-214.84283578395844,0.023391444189473986,0.0,0.019999999552965164,0.4,0.19846569001674652
2,-742.749658614397,0.010576330294134096,0.019999999552965164,0.004999999888241291,0.2,0.19770294427871704
3,-814.3473935127258,0.005320600602426566,0.0,0.0,0.2,0.19694313406944275
4,-885.7660911679268,0.003703463111014571,0.0,0.0,0.0,0.19618622958660126
5,-788.4097421765327,0.0024642554527235915,0.0,0.0,0.2,0.19543223083019257
6,-1035.6586865186691,0.0018027907607029191,0.0,0.0,0.0,0.19468121230602264
7,-1037.6431468725204,0.0013509788570809178,0.0,0.0,0.0,0.19393308460712433
8,-901.1655557751656,0.001652636659273412,0.0,0.20000000298023224,0.0,0.19318783283233643
9,-987.5268114507198,0.001530152459454257,0.0,0.0,0.1,0.19244544208049774
