episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,2693.2518396377563,0.0,0.0,0.0,1.0
1,2783.3800382614136,0.0,0.0,0.0,1.0
2,2647.048873901367,0.0,0.0,0.0,1.0
3,2263.4648299217224,0.0,0.0,0.0,1.0
4,2199.3993911743164,0.0,0.0,0.0,1.0
5,1948.2801578044891,0.0,0.0,0.0,1.0
6,2932.8434896469116,0.0,0.0,0.0,1.0
7,3630.679002761841,0.0,0.0,0.0,1.0
8,2963.1282529830933,0.0,0.0,0.0,1.0
9,2679.993343114853,0.0,0.0,0.0,1.0
10,2383.249970436096,0.0,0.0,0.0,1.0
11,2576.5643227100372,0.0,0.0,0.0,1.0
12,2927.9494581222534,0.0,0.0,0.20000000298023224,1.0
13,1909.4429333209991,0.0,0.0,0.0,1.0
14,1972.6672432422638,0.0,0.0,0.0,1.0
15,2307.726249694824,0.0,0.0,0.0,1.0
16,2714.321970462799,0.0,0.0,0.0,1.0
17,2763.4917764663696,0.0,0.0,0.0,1.0
18,2741.810299396515,0.0,0.0,0.0,1.0
19,2724.540258407593,0.0,0.0,0.0,1.0
20,2431.8290452957153,0.0,0.0,0.0,1.0
21,2502.664961338043,0.0,0.0,0.0,1.0
22,1783.5475454330444,0.0,0.0,0.0,1.0
23,2375.4650802612305,0.0,0.0,0.0,1.0
