episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,343.3685820698738,0.2346710814800981,0.0,0.0,1.0
1,159.74032214283943,0.1912710966542363,0.0,0.0,0.0
2,1714.012017071247,0.16041892075911166,0.0,0.0,0.5
3,2574.941215276718,0.12680072244256735,0.0,0.0,1.0
4,2583.9058508872986,0.0906132364901714,0.0,0.0,1.0
5,2567.430067062378,0.09174732928862796,0.0,0.0,1.0
6,2671.771032810211,0.09284335603239015,0.0,0.0,1.0
7,2278.865843296051,0.09930914784315974,0.0,0.0,1.0
8,2627.9887351989746,0.0898353346902877,0.0,0.0,1.0
9,2506.6688561439514,0.08752135431393981,0.0,0.0,1.0
10,2042.6190829277039,0.08518994974903762,0.0,0.0,1.0
11,2883.237841129303,0.09221029568463564,0.0,0.0,1.0
12,1824.5674316883087,0.09296968756709248,0.0,0.0,1.0
13,2185.374345302582,0.09979853346943855,0.0,0.0,1.0
14,2562.2791018486023,0.0900578440260142,0.0,0.0,1.0
15,1809.1797943115234,0.09747118640691042,0.0,0.0,1.0
16,1875.582050561905,0.10266608467558398,0.0,0.0,1.0
17,1564.5070757865906,0.09965469666756689,0.0,0.0,1.0
