episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,1264.020695745945,0.006204167458273419,0.0,0.0,1.0
1,3710.3872694969177,0.008748517143540085,0.0,0.0,1.0
2,2150.60862493515,0.010202489599178079,0.0,0.0,1.0
3,3324.18990278244,0.006672187282674713,0.0,0.0,1.0
4,2964.496017932892,0.008791667608020361,0.0,0.0,1.0
5,2266.3429894447327,0.0069524916823138485,0.0,0.0,1.0
6,2225.615020275116,0.006672180948371533,0.0,0.0,1.0
7,1890.2014091014862,0.004885552529012785,0.0,0.20000000298023224,1.0
8,2000.2900965213776,0.0036302618455374613,0.0,0.0,1.0
9,2110.6941900253296,0.004742171514080838,0.0,0.0,1.0
10,1584.862413406372,0.003674817809551314,0.0,0.0,1.0
11,2053.3151535987854,0.003746681129123317,0.0,0.0,1.0
12,1962.9204092025757,0.00382529646572948,0.0,0.0,1.0
13,2272.4307317733765,0.004258116839409922,0.0,0.0,1.0
