episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,2116.6586940288544,0.011438944089200554,0.0,0.0,1.0
1,1815.573745727539,0.008115836476208642,0.0,0.0,1.0
2,2427.1931948661804,0.00665529458259698,0.0,0.0,1.0
3,1648.8579941987991,0.006799307329347357,0.0,0.0,0.8
4,1312.5246341824532,0.004961367633077316,0.0,0.0,0.9
5,2938.353478908539,0.005054086080926936,0.0,0.0,1.0
6,1627.819662809372,0.0066760132508352395,0.0,0.0,1.0
7,1704.753501176834,0.004086264733923599,0.0,0.0,1.0
8,2449.586242198944,0.004090201632934622,0.0,0.0,1.0
9,2766.3141617774963,0.005779464030929375,0.0,0.0,1.0
10,2317.8283462524414,0.005922120388131589,0.0,0.0,1.0
11,1984.7065539956093,0.0046552693314151836,0.0,0.0,0.9
12,2191.7617003917694,0.00444528361549601,0.0,0.0,1.0
13,2120.822525501251,0.005154227704624645,0.0,0.0,1.0
14,1696.2267389297485,0.004117593974224292,0.0,0.0,1.0
15,1978.162555217743,0.0036645104177296163,0.0,0.0,1.0
16,1654.7403228282928,0.003385572760598734,0.0,0.0,1.0
17,2937.500077724457,0.004477927949628793,0.0,0.0,1.0
18,2314.0542888641357,0.006385768223553896,0.0,0.0,1.0
19,2220.9046864509583,0.005858041358878836,0.0,0.0,1.0
20,2314.26819896698,0.007399684400297701,0.0,0.0,1.0
21,2220.6988039016724,0.004984297557384707,0.0,0.0,1.0
22,1734.5644738674164,0.0046713832532987,0.0,0.0,1.0
23,2470.6879749298096,0.0038975076464703305,0.0,0.0,1.0
24,1859.6623965501785,0.005010642686393112,0.0,0.0,1.0
25,2686.419170856476,0.004353498030686751,0.0,0.0,1.0
26,1351.5365841388702,0.004983409440028481,0.0,0.0,1.0
27,2460.084716320038,0.0037873494799714534,0.0,0.0,1.0
28,2238.7640171051025,0.0058700509165646505,0.0,0.0,1.0
29,2215.065413713455,0.0052304744545836005,0.0,0.0,1.0
30,1884.3187532424927,0.004255796103971079,0.0,0.0,1.0
31,2558.471041202545,0.004136023852042854,0.0,0.0,1.0
32,2193.083893299103,0.0053090993990190325,0.0,0.20000000298023224,1.0
33,2704.261975288391,0.005301443556963932,0.0,0.0,1.0
34,2128.9934492111206,0.006557823923649266,0.0,0.0,1.0
35,2029.2526166439056,0.005143566178740002,0.0,0.0,1.0
36,2793.841143846512,0.005009771134937182,0.0,0.0,1.0
37,2362.6620173454285,0.006829047348583117,0.0,0.0,1.0
38,2163.0721559524536,0.0053645437839441,0.0,0.0,1.0
39,2088.805518388748,0.004947960204444826,0.0,0.0,1.0
40,2095.8484873771667,0.00664069394244709,0.0,0.0,1.0
41,2135.4142982959747,0.0061250044143525886,0.0,0.0,1.0
42,1670.6002020835876,0.0054235711315413935,0.0,0.0,1.0
43,2093.6006944179535,0.004056638965848834,0.0,0.0,1.0
44,2357.723379611969,0.0046930625545792285,0.0,0.0,1.0
45,1583.2958211898804,0.004380248092929833,0.0,0.0,1.0
46,2126.3127512931824,0.0037486760201863945,0.0,0.0,1.0
47,2524.1071796417236,0.005352327529108152,0.0,0.0,1.0
48,1718.7341313362122,0.005519329003291205,0.0,0.0,1.0
49,1872.4833354949951,0.004382706347387284,0.0,0.0,1.0
50,2127.5925419330597,0.003902074685320258,0.0,0.0,1.0
51,2855.812357902527,0.005663252978702076,0.0,0.0,1.0
52,2218.39866399765,0.005987469637766481,0.0,0.0,1.0
53,2495.285745382309,0.005496383140562102,0.0,0.0,1.0
54,1607.7349116802216,0.005462764477997552,0.20000000298023224,0.06666667014360428,1.0
55,2169.8296086788177,0.004768866017693654,0.0,0.0,1.0
56,3435.4726700782776,0.007416781773790717,0.0,0.0,1.0
57,2175.8472011089325,0.0081858485203702,0.0,0.0,1.0
58,1700.6528451442719,0.004196963441791013,0.0,0.0,1.0
59,2670.101267337799,0.00568771357240621,0.0,0.0,1.0
60,2590.216435432434,0.0071725362504366785,0.0,0.0,1.0
61,1709.943790435791,0.005412619953567628,0.0,0.0,1.0
62,2435.2552580833435,0.003842912344262004,0.0,0.0,1.0
63,1659.8131742477417,0.004414206839282997,0.0,0.0,1.0
64,2831.544482946396,0.004625518320826813,0.0,0.0,1.0
65,2721.958441734314,0.007433052855194546,0.0,0.0,1.0
66,2344.3555483818054,0.006312690306222066,0.0,0.0,1.0
67,2861.118817806244,0.006056678253225982,0.0,0.0,1.0
68,2657.884868621826,0.006967248481232673,0.0,0.0,1.0
69,2958.5199251174927,0.009414618369773961,0.0,0.03999999910593033,1.0
70,2549.9179282188416,0.007772141165332869,0.0,0.0,1.0
71,2245.3064250946045,0.006441232055658474,0.0,0.0,1.0
72,1779.0940165519714,0.004933655443019234,0.0,0.0,1.0
73,2601.6701889038086,0.004883383134147152,0.0,0.0,1.0
74,1816.774806022644,0.005682176458649337,0.0,0.0,1.0
75,2244.7701749801636,0.004516737536177971,0.0,0.0,1.0
76,2109.8603649139404,0.004916705242940225,0.0,0.20000000298023224,1.0
77,1477.648521900177,0.003989411813672632,0.0,0.0,1.0
78,1587.3955473899841,0.0028666588268242777,0.0,0.0,1.0
79,1126.0711681842804,0.003197072639595717,0.0,0.0,1.0
80,2088.8295850753784,0.005039258387922827,0.0,0.0,1.0
81,1830.0253367424011,0.004048275637323968,0.0,0.0,1.0
82,3205.453939437866,0.005937971717212349,0.0,0.0,1.0
83,2863.602746486664,0.009338672517333179,0.0,0.0,1.0
84,1788.3619015216827,0.006536814677529037,0.0,0.0,1.0
85,3110.837480545044,0.0062762544234283265,0.0,0.0,1.0
86,1815.2410960197449,0.006281512019922957,0.0,0.0,1.0
87,2592.4701294898987,0.004852141310693696,0.0,0.0,1.0
88,1900.1898021697998,0.004743411563104019,0.0,0.14000000059604645,1.0
89,3536.028163909912,0.006174100681673736,0.0,0.0,1.0
90,1762.2345175743103,0.007504545783158392,0.0,0.0,1.0
91,2258.924464225769,0.003912994471320417,0.0,0.20000000298023224,1.0
92,2295.0270659923553,0.005495253734989092,0.0,0.0,1.0
93,1835.8484272956848,0.004007407490280457,0.0,0.0,1.0
94,2947.9410948753357,0.00463065667252522,0.0,0.0,1.0
95,2210.6615319252014,0.006497737450990826,0.0,0.0,1.0
96,2648.6168823242188,0.005728328144177794,0.0,0.03999999910593033,1.0
97,1693.282484292984,0.005282602540683001,0.0,0.0,1.0
98,2770.6435441970825,0.0053125215345062315,0.0,0.0,1.0
99,1948.9773511886597,0.006176405245787464,0.0,0.0,1.0
100,2598.8025307655334,0.008687964724635499,0.0,0.0,1.0
101,2209.452977657318,0.006035294608445838,0.0,0.0,1.0
102,3574.455011367798,0.008080296866669414,0.0,0.0,1.0
103,2476.544933795929,0.01036505525931716,0.0,0.0,1.0
104,1989.4878096580505,0.006255905582802371,0.0,0.20000000298023224,1.0
105,2605.953715324402,0.004257259414880536,0.0,0.0,1.0
106,2449.8914518356323,0.006371735347784124,0.0,0.20000000298023224,1.0
107,2844.7272181510925,0.006583151668310166,0.0,0.0,1.0
108,2767.4274883270264,0.00713805535226129,0.0,0.0,1.0
109,2712.1586174964905,0.007421550489962101,0.0,0.0,1.0
110,2422.7951803207397,0.006697020696010441,0.0,0.10000000149011612,1.0
111,2168.104753255844,0.00555044567969162,0.0,0.0,1.0
112,1566.256492614746,0.005397775202873163,0.0,0.0,1.0
113,2211.452842235565,0.0058018910395912825,0.0,0.0,1.0
114,2921.211223602295,0.0057862247340381145,0.0,0.20000000298023224,1.0
115,2873.7810974121094,0.008004469916922972,0.0,0.0,1.0
116,2702.8194122314453,0.00664899185532704,0.0,0.0,1.0
